note,market,month,value
Apple,UK,2025-05-01,33
Apple,UK,2025-06-01,23.4
Apple,UK,2025-07-01,27.75
Apple,UK,2025-08-01,28.5
Apple,US,2024-08-01,31
Apple,US,2024-09-01,39
Apple,US,2024-10-01,44.75
Apple,US,2024-11-01,68.5
Apple,US,2024-12-01,73.8
Apple,US,2025-01-01,31.5
Apple,US,2025-02-01,29.5
Apple,US,2025-03-01,27
Apple,US,2025-04-01,35.75
Apple,US,2025-05-01,35.25
Apple,US,2025-06-01,33.4
Apple,US,2025-07-01,35.25
Apple,US,2025-08-01,40.5
Benzoin,US,2024-08-01,0
Benzoin,US,2024-09-01,20
Benzoin,US,2024-10-01,0
Benzoin,US,2024-11-01,0
Benzoin,US,2024-12-01,0
Benzoin,US,2025-01-01,0
Benzoin,US,2025-02-01,0
Benzoin,US,2025-03-01,0
Benzoin,US,2025-04-01,0
Benzoin,US,2025-05-01,0
Benzoin,US,2025-06-01,0
Benzoin,US,2025-07-01,7.5
Benzoin,US,2025-08-01,30
Bergamot,UK,2024-08-01,33.333333333333336
Bergamot,UK,2024-09-01,36.2
Bergamot,UK,2024-10-01,28
Bergamot,UK,2024-11-01,66.75
Bergamot,UK,2024-12-01,44.4
Bergamot,UK,2025-01-01,17.5
Bergamot,UK,2025-02-01,14
Bergamot,UK,2025-03-01,21.8
Bergamot,UK,2025-04-01,13.75
Bergamot,UK,2025-05-01,25.5
Bergamot,UK,2025-06-01,10
Bergamot,UK,2025-07-01,25.5
Bergamot,UK,2025-08-01,32
Bergamot,US,2024-08-01,51.333333333333336
Bergamot,US,2024-09-01,48.6
Bergamot,US,2024-10-01,54.75
Bergamot,US,2024-11-01,69
Bergamot,US,2024-12-01,91.4
Bergamot,US,2025-01-01,61.25
Bergamot,US,2025-02-01,63
Bergamot,US,2025-03-01,52
Bergamot,US,2025-04-01,55.75
Bergamot,US,2025-05-01,64.25
Bergamot,US,2025-06-01,67.4
Bergamot,US,2025-07-01,52
Bergamot,US,2025-08-01,69.5
Black Pepper,UK,2024-08-01,0
Black Pepper,UK,2024-09-01,0
Black Pepper,UK,2024-10-01,0
Black Pepper,UK,2024-11-01,0
Black Pepper,UK,2024-12-01,0
Black Pepper,UK,2025-01-01,0
Black Pepper,UK,2025-02-01,0
Black Pepper,UK,2025-03-01,0
Black Pepper,UK,2025-04-01,0
Black Pepper,UK,2025-05-01,0
Black Pepper,UK,2025-06-01,0
Black Pepper,UK,2025-07-01,17.5
Black Pepper,UK,2025-08-01,50
Black Pepper,US,2024-08-01,0
Black Pepper,US,2024-09-01,0
Black Pepper,US,2024-10-01,0
Black Pepper,US,2024-11-01,0
Black Pepper,US,2024-12-01,0
Black Pepper,US,2025-01-01,0
Black Pepper,US,2025-02-01,0
Black Pepper,US,2025-03-01,0
Black Pepper,US,2025-04-01,0
Black Pepper,US,2025-05-01,0
Black Pepper,US,2025-06-01,0
Black Pepper,US,2025-07-01,21.75
Black Pepper,US,2025-08-01,50
Blackcurrant,UK,2024-08-01,0
Blackcurrant,UK,2024-09-01,0
Blackcurrant,UK,2024-10-01,0
Blackcurrant,UK,2024-11-01,0
Blackcurrant,UK,2024-12-01,0
Blackcurrant,UK,2025-01-01,0
Blackcurrant,UK,2025-02-01,0
Blackcurrant,UK,2025-03-01,0
Blackcurrant,UK,2025-04-01,0
Blackcurrant,UK,2025-05-01,0
Blackcurrant,UK,2025-06-01,0
Blackcurrant,UK,2025-07-01,0
Blackcurrant,UK,2025-08-01,50
Blackcurrant,US,2024-08-01,0
Blackcurrant,US,2024-09-01,0
Blackcurrant,US,2024-10-01,0
Blackcurrant,US,2024-11-01,0
Blackcurrant,US,2024-12-01,0
Blackcurrant,US,2025-01-01,0
Blackcurrant,US,2025-02-01,0
Blackcurrant,US,2025-03-01,0
Blackcurrant,US,2025-04-01,0
Blackcurrant,US,2025-05-01,0
Blackcurrant,US,2025-06-01,0
Blackcurrant,US,2025-07-01,25
Blackcurrant,US,2025-08-01,27
Cardamom,UK,2024-08-01,0
Cardamom,UK,2024-09-01,16
Cardamom,UK,2024-10-01,0
Cardamom,UK,2024-11-01,0
Cardamom,UK,2024-12-01,0
Cardamom,UK,2025-01-01,0
Cardamom,UK,2025-02-01,0
Cardamom,UK,2025-03-01,0
Cardamom,UK,2025-04-01,0
Cardamom,UK,2025-05-01,25
Cardamom,UK,2025-06-01,0
Cardamom,UK,2025-07-01,1.5
Cardamom,UK,2025-08-01,8
Cardamom,US,2024-08-01,0
Cardamom,US,2024-09-01,0
Cardamom,US,2024-10-01,21.25
Cardamom,US,2024-11-01,25
Cardamom,US,2024-12-01,0
Cardamom,US,2025-01-01,0
Cardamom,US,2025-02-01,0
Cardamom,US,2025-03-01,0
Cardamom,US,2025-04-01,0
Cardamom,US,2025-05-01,0
Cardamom,US,2025-06-01,0
Cardamom,US,2025-07-01,58.25
Cardamom,US,2025-08-01,69
Cashmere,UK,2024-08-01,24
Cashmere,UK,2024-09-01,24.4
Cashmere,UK,2024-10-01,0
Cashmere,UK,2024-11-01,60.5
Cashmere,UK,2024-12-01,52.8
Cashmere,UK,2025-01-01,0
Cashmere,UK,2025-02-01,0
Cashmere,UK,2025-03-01,12
Cashmere,UK,2025-04-01,0
Cashmere,UK,2025-05-01,15.5
Cashmere,UK,2025-06-01,0
Cashmere,UK,2025-07-01,8.5
Cashmere,UK,2025-08-01,42.5
Cashmere,US,2024-08-01,43
Cashmere,US,2024-09-01,37.4
Cashmere,US,2024-10-01,51.5
Cashmere,US,2024-11-01,72.5
Cashmere,US,2024-12-01,85
Cashmere,US,2025-01-01,38
Cashmere,US,2025-02-01,36
Cashmere,US,2025-03-01,39.6
Cashmere,US,2025-04-01,34
Cashmere,US,2025-05-01,38
Cashmere,US,2025-06-01,32.2
Cashmere,US,2025-07-01,38
Cashmere,US,2025-08-01,44
Cedar,UK,2024-08-01,0
Cedar,UK,2024-09-01,0
Cedar,UK,2024-10-01,0
Cedar,UK,2024-11-01,25
Cedar,UK,2024-12-01,0
Cedar,UK,2025-01-01,0
Cedar,UK,2025-02-01,0
Cedar,UK,2025-03-01,0
Cedar,UK,2025-04-01,0
Cedar,UK,2025-05-01,0
Cedar,UK,2025-06-01,0
Cedar,UK,2025-07-01,5.5
Cedar,UK,2025-08-01,12.5
Cedar,US,2024-08-01,46
Cedar,US,2024-09-01,35.4
Cedar,US,2024-10-01,24
Cedar,US,2024-11-01,59.75
Cedar,US,2024-12-01,66
Cedar,US,2025-01-01,41.5
Cedar,US,2025-02-01,49.25
Cedar,US,2025-03-01,42.4
Cedar,US,2025-04-01,62.5
Cedar,US,2025-05-01,14.75
Cedar,US,2025-06-01,21.4
Cedar,US,2025-07-01,41.5
Cedar,US,2025-08-01,63.5
Cedarwood,UK,2024-08-01,0
Cedarwood,UK,2024-09-01,0
Cedarwood,UK,2024-10-01,0
Cedarwood,UK,2024-11-01,0
Cedarwood,UK,2024-12-01,0
Cedarwood,UK,2025-01-01,0
Cedarwood,UK,2025-02-01,0
Cedarwood,UK,2025-03-01,0
Cedarwood,UK,2025-04-01,0
Cedarwood,UK,2025-05-01,0
Cedarwood,UK,2025-06-01,0
Cedarwood,UK,2025-07-01,22.5
Cedarwood,UK,2025-08-01,50
Cedarwood,US,2024-08-01,0
Cedarwood,US,2024-09-01,15.4
Cedarwood,US,2024-10-01,0
Cedarwood,US,2024-11-01,45.25
Cedarwood,US,2024-12-01,17.4
Cedarwood,US,2025-01-01,0
Cedarwood,US,2025-02-01,0
Cedarwood,US,2025-03-01,0
Cedarwood,US,2025-04-01,0
Cedarwood,US,2025-05-01,0
Cedarwood,US,2025-06-01,0
Cedarwood,US,2025-07-01,32.5
Cedarwood,US,2025-08-01,50
Cinnamon,UK,2024-08-01,0
Cinnamon,UK,2024-09-01,20
Cinnamon,UK,2024-10-01,0
Cinnamon,UK,2024-11-01,23.25
Cinnamon,UK,2024-12-01,0
Cinnamon,UK,2025-01-01,0
Cinnamon,UK,2025-02-01,0
Cinnamon,UK,2025-03-01,0
Cinnamon,UK,2025-04-01,0
Cinnamon,UK,2025-05-01,0
Cinnamon,UK,2025-06-01,0
Cinnamon,UK,2025-07-01,4.75
Cinnamon,UK,2025-08-01,10
Cinnamon,US,2024-08-01,72
Cinnamon,US,2024-09-01,26.4
Cinnamon,US,2024-10-01,31.25
Cinnamon,US,2024-11-01,56.25
Cinnamon,US,2024-12-01,63.2
Cinnamon,US,2025-01-01,13
Cinnamon,US,2025-02-01,21
Cinnamon,US,2025-03-01,9.4
Cinnamon,US,2025-04-01,11
Cinnamon,US,2025-05-01,0
Cinnamon,US,2025-06-01,22.8
Cinnamon,US,2025-07-01,25.5
Cinnamon,US,2025-08-01,44.5
Freesia,UK,2024-08-01,17.333333333333332
Freesia,UK,2024-09-01,0
Freesia,UK,2024-10-01,13.5
Freesia,UK,2024-11-01,39.25
Freesia,UK,2024-12-01,48.8
Freesia,UK,2025-01-01,0
Freesia,UK,2025-02-01,17.75
Freesia,UK,2025-03-01,11.8
Freesia,UK,2025-04-01,0
Freesia,UK,2025-05-01,0
Freesia,UK,2025-06-01,0
Freesia,UK,2025-07-01,5.5
Freesia,UK,2025-08-01,29.5
Freesia,US,2024-08-01,20
Freesia,US,2024-09-01,21.6
Freesia,US,2024-10-01,30
Freesia,US,2024-11-01,12.5
Freesia,US,2024-12-01,57.4
Freesia,US,2025-01-01,0
Freesia,US,2025-02-01,12.25
Freesia,US,2025-03-01,15
Freesia,US,2025-04-01,46
Freesia,US,2025-05-01,35
Freesia,US,2025-06-01,20
Freesia,US,2025-07-01,43.75
Freesia,US,2025-08-01,31.5
Geranium,UK,2024-08-01,0
Geranium,UK,2024-09-01,0
Geranium,UK,2024-10-01,0
Geranium,UK,2024-11-01,0
Geranium,UK,2024-12-01,0
Geranium,UK,2025-01-01,0
Geranium,UK,2025-02-01,0
Geranium,UK,2025-03-01,0
Geranium,UK,2025-04-01,0
Geranium,UK,2025-05-01,0
Geranium,UK,2025-06-01,0
Geranium,UK,2025-07-01,15
Geranium,UK,2025-08-01,50
Geranium,US,2024-08-01,0
Geranium,US,2024-09-01,0
Geranium,US,2024-10-01,0
Geranium,US,2024-11-01,0
Geranium,US,2024-12-01,0
Geranium,US,2025-01-01,0
Geranium,US,2025-02-01,0
Geranium,US,2025-03-01,0
Geranium,US,2025-04-01,0
Geranium,US,2025-05-01,0
Geranium,US,2025-06-01,0
Geranium,US,2025-07-01,23.25
Geranium,US,2025-08-01,50
Ginger,UK,2024-08-01,0
Ginger,UK,2024-09-01,25.6
Ginger,UK,2024-10-01,0
Ginger,UK,2024-11-01,41.5
Ginger,UK,2024-12-01,14.4
Ginger,UK,2025-01-01,0
Ginger,UK,2025-02-01,0
Ginger,UK,2025-03-01,0
Ginger,UK,2025-04-01,0
Ginger,UK,2025-05-01,16.25
Ginger,UK,2025-06-01,0
Ginger,UK,2025-07-01,5.5
Ginger,UK,2025-08-01,12
Ginger,US,2024-08-01,13
Ginger,US,2024-09-01,30.2
Ginger,US,2024-10-01,49.5
Ginger,US,2024-11-01,70
Ginger,US,2024-12-01,75.2
Ginger,US,2025-01-01,28
Ginger,US,2025-02-01,9.75
Ginger,US,2025-03-01,36.4
Ginger,US,2025-04-01,17
Ginger,US,2025-05-01,19.25
Ginger,US,2025-06-01,43.2
Ginger,US,2025-07-01,37
Ginger,US,2025-08-01,44
Grapefruit,UK,2024-08-01,0
Grapefruit,UK,2024-09-01,0
Grapefruit,UK,2024-10-01,0
Grapefruit,UK,2024-11-01,0
Grapefruit,UK,2024-12-01,0
Grapefruit,UK,2025-01-01,0
Grapefruit,UK,2025-02-01,0
Grapefruit,UK,2025-03-01,0
Grapefruit,UK,2025-04-01,0
Grapefruit,UK,2025-05-01,0
Grapefruit,UK,2025-06-01,0
Grapefruit,UK,2025-07-01,29.5
Grapefruit,UK,2025-08-01,10
Grapefruit,US,2024-08-01,0
Grapefruit,US,2024-09-01,10.8
Grapefruit,US,2024-10-01,0
Grapefruit,US,2024-11-01,15.5
Grapefruit,US,2024-12-01,49
Grapefruit,US,2025-01-01,16.75
Grapefruit,US,2025-02-01,15.25
Grapefruit,US,2025-03-01,27
Grapefruit,US,2025-04-01,15.75
Grapefruit,US,2025-05-01,0
Grapefruit,US,2025-06-01,28.6
Grapefruit,US,2025-07-01,25.25
Grapefruit,US,2025-08-01,51.5
Iris,UK,2024-08-01,0
Iris,UK,2024-09-01,14
Iris,UK,2024-10-01,12.5
Iris,UK,2024-11-01,52.25
Iris,UK,2024-12-01,63.4
Iris,UK,2025-01-01,15
Iris,UK,2025-02-01,12.75
Iris,UK,2025-03-01,0
Iris,UK,2025-04-01,0
Iris,UK,2025-05-01,17.75
Iris,UK,2025-06-01,12.2
Iris,UK,2025-07-01,24.75
Iris,UK,2025-08-01,21
Iris,US,2024-08-01,34
Iris,US,2024-09-01,48
Iris,US,2024-10-01,58.75
Iris,US,2024-11-01,57.5
Iris,US,2024-12-01,77.2
Iris,US,2025-01-01,56
Iris,US,2025-02-01,61.25
Iris,US,2025-03-01,22.6
Iris,US,2025-04-01,51.75
Iris,US,2025-05-01,50.25
Iris,US,2025-06-01,45.8
Iris,US,2025-07-01,58.25
Iris,US,2025-08-01,58
Jasmine,UK,2024-08-01,54.666666666666664
Jasmine,UK,2024-09-01,50
Jasmine,UK,2024-10-01,40.25
Jasmine,UK,2024-11-01,76.25
Jasmine,UK,2024-12-01,78.8
Jasmine,UK,2025-01-01,49.75
Jasmine,UK,2025-02-01,56.75
Jasmine,UK,2025-03-01,55
Jasmine,UK,2025-04-01,56.75
Jasmine,UK,2025-05-01,53
Jasmine,UK,2025-06-01,53.2
Jasmine,UK,2025-07-01,58.5
Jasmine,UK,2025-08-01,56
Jasmine,US,2024-08-01,52
Jasmine,US,2024-09-01,47.4
Jasmine,US,2024-10-01,51.25
Jasmine,US,2024-11-01,68.5
Jasmine,US,2024-12-01,77.8
Jasmine,US,2025-01-01,52.25
Jasmine,US,2025-02-01,48.25
Jasmine,US,2025-03-01,56
Jasmine,US,2025-04-01,65.75
Jasmine,US,2025-05-01,66.25
Jasmine,US,2025-06-01,61
Jasmine,US,2025-07-01,62.75
Jasmine,US,2025-08-01,66
Jasmine Sambac,UK,2024-08-01,0
Jasmine Sambac,UK,2024-09-01,0
Jasmine Sambac,UK,2024-10-01,0
Jasmine Sambac,UK,2024-11-01,0
Jasmine Sambac,UK,2024-12-01,0
Jasmine Sambac,UK,2025-01-01,0
Jasmine Sambac,UK,2025-02-01,0
Jasmine Sambac,UK,2025-03-01,0
Jasmine Sambac,UK,2025-04-01,0
Jasmine Sambac,UK,2025-05-01,0
Jasmine Sambac,UK,2025-06-01,0
Jasmine Sambac,UK,2025-07-01,25
Jasmine Sambac,UK,2025-08-01,0
Jasmine Sambac,US,2024-08-01,0
Jasmine Sambac,US,2024-09-01,17.2
Jasmine Sambac,US,2024-10-01,0
Jasmine Sambac,US,2024-11-01,21.5
Jasmine Sambac,US,2024-12-01,0
Jasmine Sambac,US,2025-01-01,25
Jasmine Sambac,US,2025-02-01,0
Jasmine Sambac,US,2025-03-01,0
Jasmine Sambac,US,2025-04-01,0
Jasmine Sambac,US,2025-05-01,0
Jasmine Sambac,US,2025-06-01,0
Jasmine Sambac,US,2025-07-01,3.25
Jasmine Sambac,US,2025-08-01,4
Labdanum,US,2024-08-01,0
Labdanum,US,2024-09-01,0
Labdanum,US,2024-10-01,25
Labdanum,US,2024-11-01,0
Labdanum,US,2024-12-01,0
Labdanum,US,2025-01-01,0
Labdanum,US,2025-02-01,0
Labdanum,US,2025-03-01,0
Labdanum,US,2025-04-01,0
Labdanum,US,2025-05-01,0
Labdanum,US,2025-06-01,0
Labdanum,US,2025-07-01,5.25
Labdanum,US,2025-08-01,10
Lavender,UK,2024-08-01,19
Lavender,UK,2024-09-01,0
Lavender,UK,2024-10-01,0
Lavender,UK,2024-11-01,0
Lavender,UK,2024-12-01,33
Lavender,UK,2025-01-01,0
Lavender,UK,2025-02-01,17.25
Lavender,UK,2025-03-01,11.8
Lavender,UK,2025-04-01,0
Lavender,UK,2025-05-01,0
Lavender,UK,2025-06-01,17.4
Lavender,UK,2025-07-01,25
Lavender,UK,2025-08-01,38.5
Lavender,US,2024-08-01,51.333333333333336
Lavender,US,2024-09-01,52.2
Lavender,US,2024-10-01,51.25
Lavender,US,2024-11-01,69.5
Lavender,US,2024-12-01,75.6
Lavender,US,2025-01-01,53
Lavender,US,2025-02-01,72
Lavender,US,2025-03-01,51.4
Lavender,US,2025-04-01,56.75
Lavender,US,2025-05-01,56.25
Lavender,US,2025-06-01,60.2
Lavender,US,2025-07-01,56
Lavender,US,2025-08-01,63
Leather,UK,2024-08-01,37.333333333333336
Leather,UK,2024-09-01,44.8
Leather,UK,2024-10-01,50.5
Leather,UK,2024-11-01,77
Leather,UK,2024-12-01,77.6
Leather,UK,2025-01-01,41.5
Leather,UK,2025-02-01,54.25
Leather,UK,2025-03-01,44
Leather,UK,2025-04-01,36.5
Leather,UK,2025-05-01,41.25
Leather,UK,2025-06-01,38.4
Leather,UK,2025-07-01,33
Leather,UK,2025-08-01,45.5
Leather,US,2024-08-01,38.333333333333336
Leather,US,2024-09-01,41.2
Leather,US,2024-10-01,49.25
Leather,US,2024-11-01,69.5
Leather,US,2024-12-01,78.6
Leather,US,2025-01-01,39.75
Leather,US,2025-02-01,40.5
Leather,US,2025-03-01,34.8
Leather,US,2025-04-01,37.25
Leather,US,2025-05-01,39.5
Leather,US,2025-06-01,41.6
Leather,US,2025-07-01,39
Leather,US,2025-08-01,46.5
Lemon,UK,2024-08-01,0
Lemon,UK,2024-09-01,13.4
Lemon,UK,2024-10-01,17.75
Lemon,UK,2024-11-01,15.25
Lemon,UK,2024-12-01,15
Lemon,UK,2025-01-01,13.5
Lemon,UK,2025-02-01,0
Lemon,UK,2025-03-01,24.6
Lemon,UK,2025-04-01,42
Lemon,UK,2025-05-01,31.75
Lemon,UK,2025-06-01,0
Lemon,UK,2025-07-01,24.25
Lemon,UK,2025-08-01,44.5
Lemon,US,2024-08-01,57.333333333333336
Lemon,US,2024-09-01,56.8
Lemon,US,2024-10-01,44.25
Lemon,US,2024-11-01,65.25
Lemon,US,2024-12-01,84.2
Lemon,US,2025-01-01,53.5
Lemon,US,2025-02-01,58.5
Lemon,US,2025-03-01,63
Lemon,US,2025-04-01,69.25
Lemon,US,2025-05-01,70
Lemon,US,2025-06-01,83.8
Lemon,US,2025-07-01,73.5
Lemon,US,2025-08-01,83
Lily Of The Valley,UK,2024-08-01,0
Lily Of The Valley,UK,2024-09-01,0
Lily Of The Valley,UK,2024-10-01,0
Lily Of The Valley,UK,2024-11-01,0
Lily Of The Valley,UK,2024-12-01,0
Lily Of The Valley,UK,2025-01-01,25
Lily Of The Valley,UK,2025-02-01,0
Lily Of The Valley,UK,2025-03-01,0
Lily Of The Valley,UK,2025-04-01,0
Lily Of The Valley,UK,2025-05-01,0
Lily Of The Valley,UK,2025-06-01,0
Lily Of The Valley,UK,2025-07-01,3.75
Lily Of The Valley,UK,2025-08-01,9.5
Lily Of The Valley,US,2024-08-01,19.666666666666668
Lily Of The Valley,US,2024-09-01,12.4
Lily Of The Valley,US,2024-10-01,15
Lily Of The Valley,US,2024-11-01,19
Lily Of The Valley,US,2024-12-01,13.6
Lily Of The Valley,US,2025-01-01,0
Lily Of The Valley,US,2025-02-01,0
Lily Of The Valley,US,2025-03-01,10.6
Lily Of The Valley,US,2025-04-01,57.5
Lily Of The Valley,US,2025-05-01,44.25
Lily Of The Valley,US,2025-06-01,31.4
Lily Of The Valley,US,2025-07-01,24.5
Lily Of The Valley,US,2025-08-01,34
Magnolia,UK,2024-08-01,0
Magnolia,UK,2024-09-01,20
Magnolia,UK,2024-10-01,0
Magnolia,UK,2024-11-01,45
Magnolia,UK,2024-12-01,0
Magnolia,UK,2025-01-01,21.75
Magnolia,UK,2025-02-01,0
Magnolia,UK,2025-03-01,19.2
Magnolia,UK,2025-04-01,23.25
Magnolia,UK,2025-05-01,0
Magnolia,UK,2025-06-01,16
Magnolia,UK,2025-07-01,8.5
Magnolia,UK,2025-08-01,41.5
Magnolia,US,2024-08-01,42.333333333333336
Magnolia,US,2024-09-01,32.4
Magnolia,US,2024-10-01,35.25
Magnolia,US,2024-11-01,57.25
Magnolia,US,2024-12-01,78.2
Magnolia,US,2025-01-01,39.25
Magnolia,US,2025-02-01,46.25
Magnolia,US,2025-03-01,37
Magnolia,US,2025-04-01,35.25
Magnolia,US,2025-05-01,45
Magnolia,US,2025-06-01,37.4
Magnolia,US,2025-07-01,29.5
Magnolia,US,2025-08-01,43.5
Mandarin Orange,US,2024-08-01,0
Mandarin Orange,US,2024-09-01,0
Mandarin Orange,US,2024-10-01,0
Mandarin Orange,US,2024-11-01,0
Mandarin Orange,US,2024-12-01,0
Mandarin Orange,US,2025-01-01,0
Mandarin Orange,US,2025-02-01,0
Mandarin Orange,US,2025-03-01,0
Mandarin Orange,US,2025-04-01,0
Mandarin Orange,US,2025-05-01,0
Mandarin Orange,US,2025-06-01,0
Mandarin Orange,US,2025-07-01,25
Mandarin Orange,US,2025-08-01,50
Moss,UK,2024-08-01,0
Moss,UK,2024-09-01,0
Moss,UK,2024-10-01,0
Moss,UK,2024-11-01,25
Moss,UK,2024-12-01,0
Moss,UK,2025-01-01,0
Moss,UK,2025-02-01,0
Moss,UK,2025-03-01,0
Moss,UK,2025-04-01,0
Moss,UK,2025-05-01,0
Moss,UK,2025-06-01,0
Moss,UK,2025-07-01,7.25
Moss,UK,2025-08-01,13
Moss,US,2024-08-01,31.666666666666668
Moss,US,2024-09-01,0
Moss,US,2024-10-01,0
Moss,US,2024-11-01,0
Moss,US,2024-12-01,18.4
Moss,US,2025-01-01,0
Moss,US,2025-02-01,25
Moss,US,2025-03-01,0
Moss,US,2025-04-01,0
Moss,US,2025-05-01,0
Moss,US,2025-06-01,0
Moss,US,2025-07-01,10.75
Moss,US,2025-08-01,42
Musk,UK,2024-08-01,55.333333333333336
Musk,UK,2024-09-01,55.2
Musk,UK,2024-10-01,61.75
Musk,UK,2024-11-01,71.5
Musk,UK,2024-12-01,79.4
Musk,UK,2025-01-01,51.5
Musk,UK,2025-02-01,56.75
Musk,UK,2025-03-01,58.2
Musk,UK,2025-04-01,50.25
Musk,UK,2025-05-01,50.5
Musk,UK,2025-06-01,50.8
Musk,UK,2025-07-01,48
Musk,UK,2025-08-01,54.5
Musk,US,2024-08-01,56.666666666666664
Musk,US,2024-09-01,62.6
Musk,US,2024-10-01,60
Musk,US,2024-11-01,76.5
Musk,US,2024-12-01,90.6
Musk,US,2025-01-01,60.75
Musk,US,2025-02-01,56.75
Musk,US,2025-03-01,53.2
Musk,US,2025-04-01,49.25
Musk,US,2025-05-01,53.75
Musk,US,2025-06-01,56.4
Musk,US,2025-07-01,56.25
Musk,US,2025-08-01,60.5
Oakmoss,UK,2024-08-01,0
Oakmoss,UK,2024-09-01,0
Oakmoss,UK,2024-10-01,0
Oakmoss,UK,2024-11-01,0
Oakmoss,UK,2024-12-01,0
Oakmoss,UK,2025-01-01,0
Oakmoss,UK,2025-02-01,0
Oakmoss,UK,2025-03-01,0
Oakmoss,UK,2025-04-01,0
Oakmoss,UK,2025-05-01,0
Oakmoss,UK,2025-06-01,0
Oakmoss,UK,2025-07-01,0
Oakmoss,UK,2025-08-01,50
Oakmoss,US,2024-08-01,0
Oakmoss,US,2024-09-01,0
Oakmoss,US,2024-10-01,0
Oakmoss,US,2024-11-01,0
Oakmoss,US,2024-12-01,0
Oakmoss,US,2025-01-01,0
Oakmoss,US,2025-02-01,0
Oakmoss,US,2025-03-01,0
Oakmoss,US,2025-04-01,0
Oakmoss,US,2025-05-01,25
Oakmoss,US,2025-06-01,0
Oakmoss,US,2025-07-01,5.25
Oakmoss,US,2025-08-01,6.5
Orange,UK,2024-08-01,42.666666666666664
Orange,UK,2024-09-01,33.2
Orange,UK,2024-10-01,43.25
Orange,UK,2024-11-01,69.75
Orange,UK,2024-12-01,61.4
Orange,UK,2025-01-01,26.75
Orange,UK,2025-02-01,23.75
Orange,UK,2025-03-01,38.4
Orange,UK,2025-04-01,38.25
Orange,UK,2025-05-01,40.75
Orange,UK,2025-06-01,37.2
Orange,UK,2025-07-01,41.5
Orange,UK,2025-08-01,39.5
Orange,US,2024-08-01,48.333333333333336
Orange,US,2024-09-01,50.6
Orange,US,2024-10-01,48.75
Orange,US,2024-11-01,67.25
Orange,US,2024-12-01,85.6
Orange,US,2025-01-01,50.25
Orange,US,2025-02-01,53.75
Orange,US,2025-03-01,59.2
Orange,US,2025-04-01,65
